,X,Powiat,Rynek,Metraz,Rok,Liczba.Sprzedanych.M,Mediana.m2,Srednia.Cena.M,Srednia.Cena.m2
1,1,Powiat m.Bydgoszcz,ogólem,ogólem,2015,2677,3855,198745,3830
2,2,Powiat m.Bydgoszcz,ogólem,ogólem,2016,2624,4012,213342,3995
3,3,Powiat m.Bydgoszcz,ogólem,ogólem,2017,3075,4246,214841,4171
4,4,Powiat m.Bydgoszcz,ogólem,ogólem,2018,3484,4610,234728,4579
5,5,Powiat m.Bydgoszcz,ogólem,do 40 m2,2015,695,3838,126989,3813
6,6,Powiat m.Bydgoszcz,ogólem,do 40 m2,2016,673,4014,132966,4056
7,7,Powiat m.Bydgoszcz,ogólem,do 40 m2,2017,897,4309,136979,4259
8,8,Powiat m.Bydgoszcz,ogólem,do 40 m2,2018,1018,4585,148627,4670
9,9,Powiat m.Bydgoszcz,ogólem,"od 40,1 do 60 m2",2015,1259,3884,193203,3877
10,10,Powiat m.Bydgoszcz,ogólem,"od 40,1 do 60 m2",2016,1187,4038,203310,4109
11,11,Powiat m.Bydgoszcz,ogólem,"od 40,1 do 60 m2",2017,1373,4257,210919,4253
12,12,Powiat m.Bydgoszcz,ogólem,"od 40,1 do 60 m2",2018,1553,4623,225412,4586
13,13,Powiat m.Bydgoszcz,ogólem,"od 60,1 do 80 m2",2015,577,3844,257913,3819
14,14,Powiat m.Bydgoszcz,ogólem,"od 60,1 do 80 m2",2016,543,4016,276631,4066
15,15,Powiat m.Bydgoszcz,ogólem,"od 60,1 do 80 m2",2017,578,4128,277161,4120
16,16,Powiat m.Bydgoszcz,ogólem,"od 60,1 do 80 m2",2018,668,4611,313754,4628
17,17,Powiat m.Bydgoszcz,ogólem,"od 80,1 m2",2015,146,3738,354273,3680
18,18,Powiat m.Bydgoszcz,ogólem,"od 80,1 m2",2016,221,3542,356483,3516
19,19,Powiat m.Bydgoszcz,ogólem,"od 80,1 m2",2017,227,3999,387561,3898
20,20,Powiat m.Bydgoszcz,ogólem,"od 80,1 m2",2018,245,4627,436079,4348
21,21,Powiat m.Bydgoszcz,rynek pierwotny,ogólem,2015,979,4416,237983,4479
22,22,Powiat m.Bydgoszcz,rynek pierwotny,ogólem,2016,920,4726,262153,4830
23,23,Powiat m.Bydgoszcz,rynek pierwotny,ogólem,2017,1005,4731,260898,4886
24,24,Powiat m.Bydgoszcz,rynek pierwotny,ogólem,2018,1232,5076,277504,5234
25,25,Powiat m.Bydgoszcz,rynek pierwotny,do 40 m2,2015,240,4160,148135,4247
26,26,Powiat m.Bydgoszcz,rynek pierwotny,do 40 m2,2016,217,4702,159284,4724
27,27,Powiat m.Bydgoszcz,rynek pierwotny,do 40 m2,2017,284,4627,159737,4750
